PLOT,RCP,LIFE_FORMfloating,LIFE_FORMsubmersed,POLLINATIONentomophily,POLLINATIONepihydrophily,POLLINATIONhypohydrophily,FUNCTIONAL_DIVERSITY,ALPHA_DIVERSITY
31001751,1,0,1,0,1,0,0,1
31001770,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31001776,1,0,1,0,0,1,0,1
31001804,1,0,1,0,1,0,0,1
31002103,2,0.375,0.625,0.25,0.375,0.125,2.125993949,8
31002104,2,0.222222222,0.555555556,0.333333333,0.222222222,0.111111111,1.964583647,9
31002107,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31002109,2,0,1,0,0.5,0.5,1.16368667,2
31002110,2,0.125,0.5,0.25,0.25,0.125,1.811690813,8
31002111,2,0.285714286,0.571428571,0.285714286,0.142857143,0.285714286,1.912119918,7
31002112,2,0.166666667,0.833333333,0.166666667,0.5,0.333333333,1.70025286,6
31002113,1,0.285714286,0.428571429,0.428571429,0,0.142857143,1.848357108,7
31002114,2,0.111111111,0.888888889,0.111111111,0.333333333,0.222222222,1.435090439,9
31002118,1,0.5,0.5,0.5,0.5,0,2.301410807,2
31002121,1,1,0,1,0,0,0,1
31002122,2,0,0.75,0.125,0.25,0.25,1.368023205,8
31002126,2,0.25,0.75,0.125,0.5,0.125,1.859464826,8
31002127,1,0,0,0.333333333,0.333333333,0,1.45697624,3
31002128,2,0.222222222,0.666666667,0.111111111,0.333333333,0.111111111,1.805050708,9
31002129,1,0.333333333,0.666666667,0.333333333,0,0.333333333,1.764914583,3
31002130,2,0.272727273,0.636363636,0.272727273,0.272727273,0.090909091,1.988459123,11
31002131,2,0.428571429,0.571428571,0.428571429,0.285714286,0.142857143,2.215187378,7
31002132,2,0.2,0.8,0.2,0.3,0.1,1.723007589,10
31002133,2,0.333333333,0.666666667,0.333333333,0.333333333,0.111111111,2.110824181,9
31002134,2,0.181818182,0.727272727,0.181818182,0.272727273,0.090909091,1.72691082,11
31002135,2,0.375,0.625,0.25,0.25,0.125,2.040941594,8
31002137,2,0.222222222,0.777777778,0.222222222,0.333333333,0.111111111,1.824882034,9
31002138,2,0.25,0.75,0.25,0.375,0.125,1.931991919,8
31002139,2,0.230769231,0.692307692,0.230769231,0.230769231,0.153846154,1.824672842,13
31002140,2,0.181818182,0.727272727,0.181818182,0.272727273,0.181818182,1.72691082,11
31002141,2,0.181818182,0.636363636,0.181818182,0.363636364,0.090909091,1.867508814,11
31002142,2,0.333333333,0.666666667,0.333333333,0.5,0.166666667,2.138929018,6
31002143,2,0.25,0.75,0.25,0.375,0.25,1.931991919,8
31002144,2,0.181818182,0.818181818,0.181818182,0.272727273,0.181818182,1.628146496,11
31002147,2,0.333333333,0.666666667,0.222222222,0.222222222,0.111111111,1.927746906,9
31002148,1,0.25,0.25,0.5,0,0.25,1.749568438,4
31002149,2,0.333333333,0.666666667,0.333333333,0.166666667,0.166666667,1.972909789,6
31002150,2,0.285714286,0.714285714,0.285714286,0.428571429,0.142857143,2.039896699,7
31002152,2,0.4,0.6,0.4,0.2,0.2,2.122638407,5
31002153,2,0.090909091,0.818181818,0.090909091,0.272727273,0.181818182,1.397591922,11
31002154,2,0.142857143,0.857142857,0.142857143,0.285714286,0.142857143,1.496781307,7
31002155,2,0.2,0.8,0.1,0.4,0.2,1.698387447,10
31002156,2,0.285714286,0.714285714,0.142857143,0.571428571,0.142857143,1.92673449,7
31002157,2,0.272727273,0.727272727,0.181818182,0.363636364,0.272727273,1.907310583,11
31002158,1,0.142857143,0.714285714,0.142857143,0.428571429,0.142857143,1.75486253,7
31002159,2,0.166666667,0.833333333,0.166666667,0.166666667,0.166666667,1.408285669,6
31002160,1,1,0,1,0,0,0,1
31002161,1,0,1,0,0,1,0,1
31002163,2,0.222222222,0.777777778,0.222222222,0.111111111,0.222222222,1.551704635,9
31002164,1,0.5,0.5,0.5,0.25,0.25,2.212696539,4
31002165,1,0,1,0,1,0,1.31E-15,2
31002167,1,0,1,0,1,0,1.19E-15,3
31002169,1,0,1,0,0,0.5,2.14E-16,2
31002172,2,0.2,0.8,0.2,0.6,0,1.749556733,5
31002173,2,0.125,0.875,0.125,0.25,0.25,1.372073373,8
31002174,1,0,1,0,1,0,0,1
31002175,1,0.5,0.5,0.5,0.5,0,2.301410807,4
31002179,1,0.333333333,0.666666667,0.333333333,0.666666667,0,2.045698495,3
31002181,1,0,1,0,0.666666667,0,1.034388151,3
31002183,2,0.166666667,0.5,0.5,0.166666667,0,1.906794255,6
31002184,1,1,0,1,0,0,8.06E-16,2
31002186,1,0.666666667,0.333333333,0.666666667,0,0.333333333,1.764914583,3
31002187,1,0,1,0,1,0,2.24E-16,2
31002188,1,0,1,0,0,0,0,1
31002189,1,0,1,0,1,0,0,1
31002195,2,0.6,0.4,0.6,0.2,0.2,2.083435835,5
31002196,1,0.4,0.6,0.4,0.4,0,2.237432379,5
31002197,1,0.5,0.5,0.5,0.5,0,2.301410807,4
31002198,1,0.5,0.5,0.5,0.5,0,2.301410807,4
31002199,1,0.5,0.5,0.5,0.5,0,2.301410807,4
31002200,2,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,2.110824181,3
31002201,2,0.166666667,0.833333333,0,0.666666667,0.166666667,1.511467596,6
31002202,2,0.333333333,0.666666667,0.166666667,0.666666667,0.166666667,1.967509172,6
31002203,2,0.25,0.75,0.25,0.5,0.25,1.946607909,4
31002205,2,0.333333333,0.666666667,0.166666667,0.666666667,0.166666667,1.967509172,6
31002206,1,0,1,0,0.5,0.5,1.16368667,4
31002207,1,0.5,0.5,0.5,0,0,1.985528906,2
31002208,2,0.333333333,0.666666667,0.166666667,0.5,0.333333333,2.039336905,6
31002209,1,1,0,1,0,0,0,1
31002210,1,0,1,0,1,0,1.19E-15,3
31002211,2,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,2.110824181,3
