"","Row.names","PLOT","EASTING","NORTHING","AQUATICAREA","STRATUM","OLDPOOLNAME","POOL","YEAR","y"
"1","100",31002046,544073,4934111,"P04_CFL_15","BWC",4,"U4",1998,"2"
"2","10002",32009177,640705,4830004,"P08_CFL_342","IMP",8,"8",2007,"2"
"3","10004",32009179,640656,4829813,"P08_CFL_342","IMP",8,"8",2007,"2"
"4","10012",32009187,643300,4828910,"P08_CFL_339","IMP",8,"8",2007,"1"
"5","10014",32009189,641808,4828617,"P08_CFL_342","IMP",8,"8",2007,"2"
"6","1002",31004060,583628,4911661,"P04_USCB_11","MBC",4,"L4",2001,"2"
"7","10021",32009197,643205,4837261,"P08_CFL_27","IMP",8,"8",2007,"2"
"8","10022",32009199,640556,4836612,"P08_CFL_343","IMP",8,"8",2007,"2"
"9","10023",32009200,643303,4836069,"P08_CFL_27","IMP",8,"8",2007,"2"
"10","10025",32009202,639556,4830017,"P08_CFL_340","IMP",8,"8",2007,"2"
"11","10026",32009203,640956,4828510,"P08_CFL_340","IMP",8,"8",2007,"2"
"12","10027",32009204,641661,4827865,"P08_SC_1","IMP",8,"8",2007,"1"
"13","10028",32009205,642302,4827215,"P08_CFL_338","IMP",8,"8",2007,"2"
"14","1003",31004061,583183,4911408,"P04_SC_27","MBC",4,"L4",2001,"2"
"15","10031",32009228,639763,4840366,"P08_CFL_76","MBC",8,"8",2008,"2"
"16","10044",32009241,640756,4844318,"P08_SC_9","MBC",8,"8",2008,"2"
"17","10047",32009244,640704,4843914,"P08_SCB_26","MBC",8,"8",2008,"2"
"18","10048",32009245,640751,4843807,"P08_SC_9","MBC",8,"8",2008,"2"
"19","10055",32009252,639754,4840213,"P08_SCB_25","MBC",8,"8",2008,"2"
"20","10056",32009253,639756,4840158,"P08_SCB_25","MBC",8,"8",2008,"2"
"21","10060",32009257,639952,4837515,"P08_SCB_25","MBC",8,"8",2008,"2"
"22","10061",32009258,639598,4837462,"P08_SCB_22","MBC",8,"8",2008,"2"
"23","10062",32009259,640405,4836467,"P08_SCB_24","MBC",8,"8",2008,"2"
"24","10064",32009261,640759,4836216,"P08_SCB_24","MBC",8,"8",2008,"2"
"25","10065",32009262,641058,4836213,"P08_USCB_9","MBC",8,"8",2008,"2"
"26","10066",32009263,641604,4835413,"P08_SCB_21","MBC",8,"8",2008,"2"
"27","10067",32009264,641604,4835011,"P08_SCB_21","MBC",8,"8",2008,"2"
"28","10068",32009265,641605,4834815,"P08_USCB_5","MBC",8,"8",2008,"2"
"29","10069",32009266,641599,4834760,"P08_USCB_5","MBC",8,"8",2008,"2"
"30","10071",32009268,643115,4832563,"P08_USCB_3","MBC",8,"8",2008,"2"
"31","10073",32009270,642553,4826616,"P08_CFL_338","MBC",8,"8",2008,"2"
"32","10074",32009271,639652,4851515,"P08_SCB_29","MBC",8,"8",2008,"2"
