PLOT,Month03_Psum,Month04_Psum,Month05_Psum,Month06_Psum,Month07_Psum,Month08_Psum,Month09_Psum,MAM_Psum,JJAS_Psum,Month03_dailymeanP,Month04_dailymeanP,Month05_dailymeanP,Month06_dailymeanP,Month07_dailymeanP,Month08_dailymeanP,Month09_dailymeanP,MAM_dailymeanP,JJAS_dailymeanP,Month03_dailymeanT,Month04_dailymeanT,Month05_dailymeanT,Month06_dailymeanT,Month07_dailymeanT,Month08_dailymeanT,Month09_dailymeanT,MAM_dailymeanT,JJAS_dailymeanT
31002102,89.99,58.2,113.83,222.01,76.28,204.86,32.62,262.03,449.67,2.9,1.94,3.67,7.4,2.46,6.61,1.09,2.85,4.89,0.57,10.61,18.48,18.53,22.51,21.96,19.48,9.88,18.49
31002103,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
31002104,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
31002105,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
31002106,89.99,58.2,113.83,222.01,76.28,204.86,32.62,262.03,449.67,2.9,1.94,3.67,7.4,2.46,6.61,1.09,2.85,4.89,0.57,10.61,18.48,18.53,22.51,21.96,19.48,9.88,18.49
31002107,90.89,56.66,111.42,224.39,79.75,202.1,31.85,258.97,447.22,2.93,1.89,3.59,7.48,2.57,6.52,1.06,2.81,4.86,0.43,10.47,18.32,18.41,22.32,21.83,19.28,9.73,18.35
31002109,90.89,56.66,111.42,224.39,79.75,202.1,31.85,258.97,447.22,2.93,1.89,3.59,7.48,2.57,6.52,1.06,2.81,4.86,0.43,10.47,18.32,18.41,22.32,21.83,19.28,9.73,18.35
31002110,90.89,56.66,111.42,224.39,79.75,202.1,31.85,258.97,447.22,2.93,1.89,3.59,7.48,2.57,6.52,1.06,2.81,4.86,0.43,10.47,18.32,18.41,22.32,21.83,19.28,9.73,18.35
31002111,90.89,56.66,111.42,224.39,79.75,202.1,31.85,258.97,447.22,2.93,1.89,3.59,7.48,2.57,6.52,1.06,2.81,4.86,0.43,10.47,18.32,18.41,22.32,21.83,19.28,9.73,18.35
31002112,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002113,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002114,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002115,83.65,56.67,119.71,235.04,81.01,214.55,32.6,260.02,474.46,2.7,1.89,3.86,7.83,2.61,6.92,1.09,2.83,5.16,0.59,10.7,18.61,18.59,22.52,22.04,19.65,9.96,18.6
31002116,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002117,65.34,45.61,134.85,266,85.96,233.72,30.14,245.79,535.7,2.11,1.52,4.35,8.87,2.77,7.54,1,2.67,5.82,0.06,10.22,18.13,18.11,22.03,21.51,19.19,9.46,18.12
