PLOT,SUBSTRATE,AVGDEPTH,MINDEPTH,MAXDEPTH,RANGEDEPTH,TURBIDITY,TEMPERATURE,OXYGEN,TSS,PH,CHLOROPHYLL,VELOCITY,TOTALP,TOTALN,N_PRatio,QMEAN,QMIN,QMAX,QGROWING,CONNECTIVITY,EXCEEDANCE,WINDFETCH,logN,logP,DEPTH_PRED,DEPTH_RESID,CONNECTIVITY_PRED,CONNECTIVITY_RESID,VELOCITY_PRED,VELOCITY_RESID,EXCEEDANCE_PRED,EXCEEDANCE_RESID,logN_PRED,logN_RESID,logP_PRED,logP_RESID,TSS_PRED,TSS_RESID,CHLOROPHYLL_PRED,CHLOROPHYLL_RESID,TEMPERATURE_PRED,TEMPERATURE_RESID
31001749,6,2.0,2,2,0,27,23.5,6.2,50.5,8.2,24.4,0.25,0.191,2.154,11.277,575,119,2022,611,29.76,191.2,0.73,0.3,-0.7,1.7,0.3,30.6,-0.8,0.3,-0.1,156.1,35.1,0.345,-0.012,-0.716,-0.003,46.5,4,25.6,-1.1,23.5,0
31001750,6,3.2,3.2,3.2,0,6,25.6,8.1,6.4,8.3,25.7,0.4,0.165,2.340,14.182,575,119,2022,611,44.7,160,1.74,0.4,-0.8,2.3,0.9,41.6,3.1,0.3,0.1,140.5,19.5,0.361,0.009,-0.787,0.005,7.2,-0.8,31.5,-5.8,25.9,-0.3
31001754,5,3.2,3.2,3.2,0,10,24.9,9.9,11,8.6,50.1,0.31,0.146,1.631,11.171,575,119,2022,611,20.6,171.2,0.69,0.2,-0.8,2.7,0.5,22.4,-1.8,0.3,0,170.7,0.5,0.236,-0.024,-0.818,-0.017,9.5,1.5,40.9,9.2,25.3,-0.4
31001755,5,4.7,4.7,4.7,0,9,24,4.8,7,8,12.3,0.51,0.199,1.934,9.719,575,119,2022,611,22.55,240,0.52,0.3,-0.7,2.7,2,24.6,-2.1,0.4,0.1,209.1,30.9,0.235,0.052,-0.763,0.062,7.7,-0.7,23,-10.7,24.2,-0.2
31001756,5,3.2,3.2,3.2,0,9,24,4.8,7,8,12.3,0.51,0.199,1.934,9.719,575,119,2022,611,29.53,278.17,0.52,0.3,-0.7,2.6,0.6,27.6,1.9,0.5,0,225.7,52.4,0.242,0.045,-0.740,0.039,7.2,-0.2,17.3,-5.1,24.1,-0.1
31001769,6,1.4,1.4,1.4,0,8,23.9,5.8,7.8,8,18.9,0.35,0.176,1.376,7.818,575,119,2022,611,36.22,192.2,0.96,0.1,-0.8,1.3,0.1,44.3,-8.1,0.4,0,155.2,37,0.203,-0.064,-0.758,0.003,13.6,-5.8,20.2,-1.4,23.9,0
31001770,6,0.3,0.3,0.3,0,8,23.9,5.8,7.8,8,18.9,0.35,0.176,1.376,7.818,575,119,2022,611,49.02,67.75,1.06,0.1,-0.8,1,-0.7,46.2,2.8,0.4,0,118.7,-50.9,0.163,-0.024,-0.754,0.000,19.6,-11.8,21,-2.1,23.9,0
31001773,6,2.0,2,2,0,8,23.9,5.8,7.8,8,18.9,0.35,0.176,1.376,7.818,575,119,2022,611,40.27,199,1.03,0.1,-0.8,1.6,0.4,40.2,0.1,0.3,0,163.7,35.3,0.164,-0.025,-0.757,0.003,8.4,-0.6,22,-3.2,23.9,0
31001775,6,2.9,2.9,2.9,0,8,23.9,6.3,8.2,8.1,24.4,0.35,0.166,1.941,11.693,575,119,2022,611,66.17,257.8,1.07,0.3,-0.8,2.2,0.7,58.3,7.8,0.3,0,205.9,51.9,0.249,0.040,-0.777,-0.003,8.2,0,23.9,0.5,23.9,0
31001776,6,0.3,0.3,0.3,0,8,23.9,5.8,7.8,8,18.9,0.35,0.176,1.376,7.818,575,119,2022,611,33.76,49,0.94,0.1,-0.8,0.9,-0.6,37.5,-3.7,0.3,0,98.6,-49.6,0.180,-0.042,-0.759,0.005,8.1,-0.3,20.2,-1.4,23.9,0
31001778,6,1.6,1.6,1.6,0,8,23.9,6.3,8.2,8.1,24.4,0.35,0.166,1.941,11.693,575,119,2022,611,48.07,189.6,0.8,0.3,-0.8,1.8,-0.2,48.6,-0.6,0.3,0,187.5,2.1,0.277,0.011,-0.779,-0.001,8.4,-0.2,30.9,-6.4,24,-0.1
31001782,6,2.2,2.2,2.2,0,8,23.9,6.3,8.2,8.1,24.4,0.35,0.166,1.941,11.693,575,119,2022,611,54.36,157.75,0.9,0.3,-0.8,2.1,0.1,53.2,1.1,0.3,0,176.1,-18.4,0.280,0.008,-0.780,0.001,8.4,-0.2,27.4,-3,24.1,-0.2
31001785,5,2.7,2.7,2.7,0,24,23,6.1,59.6,8.2,26.6,0.54,0.221,2.091,9.462,575,119,2022,611,19.57,117,0.3,0.3,-0.7,2.1,0.6,19.2,0.3,0.5,0,133.9,-16.9,0.331,-0.010,-0.674,0.018,56.5,3.1,26.1,0.5,23,0
31001792,6,1.0,1,1,0,8,26.4,10.4,9.3,8.5,42.3,0.27,0.160,2.219,13.869,575,119,2022,611,34.15,58.25,0.99,0.3,-0.8,1.3,-0.3,36.7,-2.5,0.3,-0.1,97.1,-38.8,0.348,-0.002,-0.791,-0.005,8.5,0.8,35.7,6.7,26.2,0.2
31001793,6,1.1,1.1,1.1,0,8,26.4,10.4,9.3,8.5,42.3,0.27,0.160,2.219,13.869,575,119,2022,611,37.76,55.75,1.02,0.3,-0.8,1.3,-0.2,37.2,0.6,0.3,-0.1,92.5,-36.8,0.346,0.001,-0.791,-0.005,8.7,0.6,36.6,5.8,26.2,0.2
31001794,6,4.1,4.1,4.1,0,6,24,4.8,5.6,8,11.6,0.45,0.182,1.773,9.742,575,119,2022,611,15.65,236.4,0.48,0.2,-0.7,3,1.1,15.4,0.3,0.4,0,198.5,37.9,0.230,0.019,-0.784,0.044,6,-0.4,17.3,-5.7,24.3,-0.3
31001805,6,3.0,3,3,0,8,23.9,6.3,8.2,8.1,24.4,0.35,0.166,1.941,11.693,575,119,2022,611,62.12,210.83,0.94,0.3,-0.8,2.4,0.6,56.3,5.8,0.3,0,197,13.9,0.251,0.037,-0.780,0.000,8.3,-0.1,28.9,-4.5,24,-0.1
31001807,3,0.9,0.9,0.9,0,25,23.2,6.7,27.9,8.3,29,0.03,0.183,2.234,12.208,575,119,2022,611,38.19,40.2,1.1,0.3,-0.7,1.3,-0.4,37.2,1,0.1,-0.1,63.3,-23.1,0.357,-0.008,-0.726,-0.012,33.2,-5.3,28.2,0.8,23.3,-0.1
31001863,6,3.0,3,3,0,13,23,6.5,40,8.2,29.6,0.33,0.196,2.341,11.944,575,119,2022,611,18.45,298.17,0.36,0.4,-0.7,2.5,0.5,18,0.5,0.3,0,235.3,62.8,0.361,0.009,-0.713,0.005,40.6,-0.6,29.6,0,23,0
31001866,3,1.4,1.4,1.4,0,20,23.7,6.8,29.6,8.3,26.1,0.33,0.178,2.043,11.478,575,119,2022,611,12.36,132.67,0.24,0.3,-0.7,1.4,0,13.8,-1.4,0.3,0,118.5,14.2,0.319,-0.009,-0.742,-0.008,31.7,-2.1,29.4,-3.2,23.5,0.2
