PLOT,EASTING,NORTHING,STRATUM,OLDPOOLNAME,POOL,YEAR
31001748,535045,4937766,MBC,4,U4,1998
31001749,544741,4934399,MBC,4,U4,1998
31001750,571209,4918295,MBC,4,L4,1998
31001751,572330,4918209,MBC,4,L4,1998
31001752,572133,4918052,MBC,4,L4,1998
31001753,572795,4917812,MBC,4,L4,1998
31001754,573926,4916951,MBC,4,L4,1998
31001755,578349,4914524,MBC,4,L4,1998
31001756,578649,4914440,MBC,4,L4,1998
31001758,580781,4913213,MBC,4,L4,1998
31001759,580890,4913199,MBC,4,L4,1998
31001761,580939,4913151,MBC,4,L4,1998
31001765,582385,4912613,MBC,4,L4,1998
31001766,582377,4912555,MBC,4,L4,1998
31001767,583128,4911857,MBC,4,L4,1998
31001768,583438,4911359,MBC,4,L4,1998
31001769,583181,4911162,MBC,4,L4,1998
31001770,583476,4911116,MBC,4,L4,1998
31001772,584328,4910556,MBC,4,L4,1998
31001773,583727,4910447,MBC,4,L4,1998
31001774,583689,4910357,MBC,4,L4,1998
31001775,584089,4910354,MBC,4,L4,1998
31001776,583684,4910314,MBC,4,L4,1998
31001778,584785,4910113,MBC,4,L4,1998
31001779,584035,4910009,MBC,4,L4,1998
31001782,584540,4909655,MBC,4,L4,1998
31001784,531597,4940103,MBC,4,U4,1998
31001785,531617,4940081,MBC,4,U4,1998
31001787,535525,4935627,MBC,4,U4,1998
31001788,541631,4935113,MBC,4,U4,1998
31001789,541886,4935011,MBC,4,U4,1998
31001790,542933,4934674,MBC,4,U4,1998
31001791,571230,4918351,MBC,4,L4,1998
31001792,572375,4918215,MBC,4,L4,1998
31001793,572428,4918161,MBC,4,L4,1998
31001794,575985,4915858,MBC,4,L4,1998
31001796,576578,4915357,MBC,4,L4,1998
31001797,581235,4913457,MBC,4,L4,1998
31001798,581539,4913407,MBC,4,L4,1998
31001801,582032,4912698,MBC,4,L4,1998
31001802,582934,4912510,MBC,4,L4,1998
31001803,582932,4912459,MBC,4,L4,1998
31001804,583778,4911405,MBC,4,L4,1998
31001805,584429,4910404,MBC,4,L4,1998
31001806,585529,4909866,MBC,4,L4,1998
31001807,544982,4934810,SC,4,U4,1998
31001830,537735,4936205,SC,4,U4,1998
31001831,538275,4936208,SC,4,U4,1998
31001863,536315,4937238,SC,4,U4,1998
31001864,538690,4936907,SC,4,U4,1998
31001865,539129,4936753,SC,4,U4,1998
31001866,540984,4936450,SC,4,U4,1998
31001867,539980,4936200,SC,4,U4,1998
31001868,541593,4936113,SC,4,U4,1998
31001872,542124,4935058,SC,4,U4,1998
31001873,543631,4935070,SC,4,U4,1998
31001874,543550,4935014,SC,4,U4,1998
31001875,542735,4934797,SC,4,U4,1998
31001885,535329,4937844,SC,4,U4,1998
31001888,536631,4937094,SC,4,U4,1998
31001889,536677,4937120,SC,4,U4,1998
31001890,536789,4937064,SC,4,U4,1998
31001891,536521,4936968,SC,4,U4,1998
31001892,537137,4936961,SC,4,U4,1998
31001894,538494,4936931,SC,4,U4,1998
31001895,538841,4936849,SC,4,U4,1998
31001896,539050,4936763,SC,4,U4,1998
31001897,539174,4936568,SC,4,U4,1998
31001898,539388,4936555,SC,4,U4,1998
31001899,541285,4936409,SC,4,U4,1998
31001900,540023,4936354,SC,4,U4,1998
31002001,540498,4936305,SC,4,U4,1998
31002002,541567,4936269,SC,4,U4,1998
31002003,541467,4936205,SC,4,U4,1998
31002004,541728,4936010,SC,4,U4,1998
31002006,537990,4935460,SC,4,U4,1998
31002007,542483,4935061,SC,4,U4,1998
31002008,542637,4935006,SC,4,U4,1998
31002009,543032,4935008,SC,4,U4,1998
31002010,542696,4934901,SC,4,U4,1998
31002011,542625,4934815,SC,4,U4,1998
31002025,538882,4936206,SC,4,U4,1998
31002026,538828,4936158,SC,4,U4,1998
31002028,556079,4924411,BWC,4,U4,1998
31002029,537724,4936706,BWC,4,U4,1998
31002031,537125,4937354,BWC,4,U4,1998
31002033,542730,4936155,BWC,4,U4,1998
31002034,542579,4936109,BWC,4,U4,1998
31002035,542222,4935755,BWC,4,U4,1998
31002036,542427,4935707,BWC,4,U4,1998
31002037,542176,4935657,BWC,4,U4,1998
31002038,542627,4935659,BWC,4,U4,1998
31002039,542677,4935658,BWC,4,U4,1998
31002040,542930,4935558,BWC,4,U4,1998
31002041,542983,4935461,BWC,4,U4,1998
31002042,542478,4935411,BWC,4,U4,1998
31002043,542376,4935360,BWC,4,U4,1998
31002044,543020,4935309,BWC,4,U4,1998
31002045,542981,4935253,BWC,4,U4,1998
31002046,544073,4934111,BWC,4,U4,1998
31002047,544729,4933806,BWC,4,U4,1998
31002048,544326,4933760,BWC,4,U4,1998
31002049,544424,4933758,BWC,4,U4,1998
31002050,545229,4933705,BWC,4,U4,1998
31002052,542076,4936257,BWC,4,U4,1998
31002053,542324,4936110,BWC,4,U4,1998
31002055,542731,4936007,BWC,4,U4,1998
31002056,542676,4935854,BWC,4,U4,1998
31002057,542077,4935506,BWC,4,U4,1998
31002058,542477,4935258,BWC,4,U4,1998
31002059,542877,4935255,BWC,4,U4,1998
31002060,541636,4934757,BWC,4,U4,1998
31002061,541833,4934707,BWC,4,U4,1998
31002062,543528,4934259,BWC,4,U4,1998
31002063,543526,4934159,BWC,4,U4,1998
31002064,543778,4933993,BWC,4,U4,1998
31002065,536526,4936310,BWC,4,U4,1998
31002066,536523,4936211,BWC,4,U4,1998
31002067,538824,4935863,BWC,4,U4,1998
31002068,539380,4935562,BWC,4,U4,1998
31002069,539025,4935509,BWC,4,U4,1998
31002070,539481,4935503,BWC,4,U4,1998
31002071,540579,4936756,BWC,4,U4,1998
31002072,540771,4936561,BWC,4,U4,1998
31002073,536929,4936408,BWC,4,U4,1998
31002074,536625,4936260,BWC,4,U4,1998
31002075,536778,4936155,BWC,4,U4,1998
31002076,537131,4936158,BWC,4,U4,1998
31002077,537128,4936110,BWC,4,U4,1998
31002079,539921,4935863,BWC,4,U4,1998
31002080,540588,4935759,BWC,4,U4,1998
31002081,539731,4935611,BWC,4,U4,1998
31002082,540190,4935609,BWC,4,U4,1998
31002083,539778,4935505,BWC,4,U4,1998
31002084,539830,4935510,BWC,4,U4,1998
31002085,540286,4935457,BWC,4,U4,1998
31002086,540133,4935406,BWC,4,U4,1998
31002087,539886,4935355,BWC,4,U4,1998
31002089,539577,4936753,BWC,4,U4,1998
31002090,536929,4936260,BWC,4,U4,1998
31002093,539447,4935956,BWC,4,U4,1998
31002094,540128,4935954,BWC,4,U4,1998
31002095,536673,4935907,BWC,4,U4,1998
31002096,541534,4935856,BWC,4,U4,1998
31002097,540485,4935514,BWC,4,U4,1998
31002098,536228,4936019,BWC,4,U4,1998
31002099,536327,4935863,BWC,4,U4,1998
31002100,536467,4935654,BWC,4,U4,1998
31002101,536477,4935559,BWC,4,U4,1998
31002102,574731,4918252,BWC,4,L4,1998
31002103,579185,4917709,BWC,4,L4,1998
31002104,578380,4917603,BWC,4,L4,1998
31002105,578734,4917453,BWC,4,L4,1998
31002106,575587,4917303,BWC,4,L4,1998
31002107,571985,4918416,BWC,4,L4,1998
31002109,572181,4918457,BWC,4,L4,1998
31002110,571725,4918619,BWC,4,L4,1998
31002111,571431,4918862,BWC,4,L4,1998
31002112,582579,4913508,BWC,4,L4,1998
31002113,582685,4913368,BWC,4,L4,1998
31002114,582529,4913316,BWC,4,L4,1998
31002116,584581,4912007,BWC,4,L4,1998
31002117,585132,4911561,BWC,4,L4,1998
31002118,584385,4911358,BWC,4,L4,1998
